regime,vrp,instrument,premium_$/side/day,concurrent_pairs,L1_hedge_equity,L2_tail_buffer,L3_loss_buffer,total_capital_$,expected_weekly_aggregate_PnL,p05_weekly_aggregate_PnL,weeks_to_burn_30k_at_E[PnL]
mod,0.0,straddle_30d,250,250,1476165,320629,2426258,5489970,-2426258,-2498814,0
mod,0.0,straddle_30d,250,500,2952331,453438,4852517,10735773,-4852517,-4955127,0
mod,0.0,straddle_30d,250,1000,5904663,641258,9705034,21126243,-9705034,-9850146,0
mod,0.0,straddle_30d,400,1,5899,17579,7624,40434,-7624,-12379,3
mod,0.0,straddle_30d,400,4,23596,35158,30498,116030,-30498,-40009,0
mod,0.0,straddle_30d,400,8,47193,49721,60997,205286,-60997,-74447,0
mod,0.0,straddle_30d,400,12,70789,60896,91496,290137,-91496,-107969,0
mod,0.0,straddle_30d,400,25,147479,87896,190617,553791,-190617,-214394,0
mod,0.0,straddle_30d,400,50,294958,124304,381235,1040647,-381235,-414860,0
mod,0.0,straddle_30d,400,100,589916,175792,762471,1986634,-762471,-810023,0
mod,0.0,straddle_30d,400,250,1474791,277953,1906177,4756598,-1906177,-1981364,0
mod,0.0,straddle_30d,400,500,2949582,393085,3812355,9301529,-3812355,-3918686,0
mod,0.0,straddle_30d,400,1000,5899164,555906,7624711,18303716,-7624711,-7775085,0
mod,0.0,straddle_30d,600,1,5890,13663,4792,31651,-4792,-9568,6
mod,0.0,straddle_30d,600,4,23563,27327,19171,91081,-19171,-28723,1
mod,0.0,straddle_30d,600,8,47126,38647,38343,161352,-38343,-51851,0
mod,0.0,straddle_30d,600,12,70690,47333,57514,228199,-57514,-74059,0
mod,0.0,straddle_30d,600,25,147271,68319,119822,436037,-119822,-143702,0
mod,0.0,straddle_30d,600,50,294543,96618,239645,820048,-239645,-273416,0
mod,0.0,straddle_30d,600,100,589086,136638,479291,1566520,-479291,-527050,0
mod,0.0,straddle_30d,600,250,1472715,216045,1198227,3753084,-1198227,-1273742,0
mod,0.0,straddle_30d,600,500,2945430,305533,2396455,7341645,-2396455,-2503249,0
mod,0.0,straddle_30d,600,1000,5890861,432090,4792910,14450620,-4792910,-4943940,0
mod,0.0,straddle_30d,800,1,5889,9259,2017,22316,-2017,-6580,14
mod,0.0,straddle_30d,800,4,23557,18519,8068,65189,-8068,-17195,3
mod,0.0,straddle_30d,800,8,47114,26190,16137,116275,-16137,-29045,1
mod,0.0,straddle_30d,800,12,70671,32077,24206,165041,-24206,-40015,1
mod,0.0,straddle_30d,800,25,147231,46299,50430,317150,-50430,-73247,0
mod,0.0,straddle_30d,800,50,294463,65477,100861,599042,-100861,-133129,0
mod,0.0,straddle_30d,800,100,588926,92598,201722,1148221,-201722,-247356,0
mod,0.0,straddle_30d,800,250,1472317,146411,504305,2759943,-504305,-576460,0
mod,0.0,straddle_30d,800,500,2944634,207056,1008610,5408392,-1008610,-1110653,0
mod,0.0,straddle_30d,800,1000,5889268,292822,2017221,10659106,-2017221,-2161531,0
mod,0.0,straddle_30d,1000,1,5905,5622,0,14986,832,-3878,
mod,0.0,straddle_30d,1000,4,23621,11244,0,45326,3329,-6091,
mod,0.0,straddle_30d,1000,8,47243,15902,0,82089,6659,-6664,
mod,0.0,straddle_30d,1000,12,70865,19476,0,117444,9988,-6328,
mod,0.0,straddle_30d,1000,25,147636,28111,0,228472,20809,-2742,
mod,0.0,straddle_30d,1000,50,295273,39755,0,435537,41619,8311,
mod,0.0,straddle_30d,1000,100,590546,56223,0,840800,83239,36134,
mod,0.0,straddle_30d,1000,250,1476366,88896,0,2034842,208098,133619,
mod,0.0,straddle_30d,1000,500,2952733,125719,0,4001988,416197,310867,
mod,0.0,straddle_30d,1000,1000,5905466,177793,0,7908238,832395,683436,
mod,0.0,straddle_30d,1500,1,5911,0,0,7684,7797,3048,
mod,0.0,straddle_30d,1500,4,23645,0,0,30738,31188,21690,
mod,0.0,straddle_30d,1500,8,47290,0,0,61477,62377,48945,
mod,0.0,straddle_30d,1500,12,70936,0,0,92216,93566,77115,
mod,0.0,straddle_30d,1500,25,147783,0,0,192118,194930,171184,
mod,0.0,straddle_30d,1500,50,295566,0,0,384236,389861,356279,
mod,0.0,straddle_30d,1500,100,591133,0,0,768473,779723,732231,
mod,0.0,straddle_30d,1500,250,1477833,0,0,1921183,1949307,1874216,
mod,0.0,straddle_30d,1500,500,2955666,0,0,3842366,3898615,3792420,
mod,0.0,straddle_30d,1500,1000,5911333,0,0,7684733,7797231,7647048,
mod,0.0,strangle_7d,250,1,2152,20036,9420,41092,-9420,-14057,3
mod,0.0,strangle_7d,250,4,8609,40073,37681,112274,-37681,-46955,0
mod,0.0,strangle_7d,250,8,17218,56672,75363,194031,-75363,-88479,0
mod,0.0,strangle_7d,250,12,25828,69409,113045,270768,-113045,-129108,0
mod,0.0,strangle_7d,250,25,53809,100183,235511,506355,-235511,-258696,0
mod,0.0,strangle_7d,250,50,107618,141680,471023,936419,-471023,-503812,0
mod,0.0,strangle_7d,250,100,215236,200366,942047,1764945,-942047,-988417,0
mod,0.0,strangle_7d,250,250,538090,316807,2355117,4173021,-2355117,-2428435,0
mod,0.0,strangle_7d,250,500,1076181,448033,4710235,8104786,-4710235,-4813921,0
mod,0.0,strangle_7d,250,1000,2152363,633615,9420470,15868385,-9420470,-9567105,0
mod,0.0,strangle_7d,400,1,2152,17119,7289,34529,-7289,-11997,4
mod,0.0,strangle_7d,400,4,8609,34239,29157,93607,-29157,-38574,1
mod,0.0,strangle_7d,400,8,17218,48421,58314,161142,-58314,-71632,0
mod,0.0,strangle_7d,400,12,25828,59304,87472,224386,-87472,-103782,0
mod,0.0,strangle_7d,400,25,53809,85598,182233,418133,-182233,-205775,0
mod,0.0,strangle_7d,400,50,107618,121054,364467,771082,-364467,-397760,0
mod,0.0,strangle_7d,400,100,215236,171196,728935,1449978,-728935,-776019,0
mod,0.0,strangle_7d,400,250,538090,270685,1822338,3420449,-1822338,-1896784,0
mod,0.0,strangle_7d,400,500,1076181,382806,3644677,6634765,-3644677,-3749959,0
mod,0.0,strangle_7d,400,1000,2152363,541370,7289354,12978015,-7289354,-7438246,0
mod,0.0,strangle_7d,600,1,2152,13071,4403,25515,-4403,-9084,6
mod,0.0,strangle_7d,600,4,8609,26142,17614,68076,-17614,-26976,1
mod,0.0,strangle_7d,600,8,17218,36971,35228,116245,-35228,-48468,0
mod,0.0,strangle_7d,600,12,25828,45280,52843,161138,-52843,-69058,0
mod,0.0,strangle_7d,600,25,53809,65357,110089,298033,-110089,-133495,0
mod,0.0,strangle_7d,600,50,107618,92429,220179,546295,-220179,-253280,0
mod,0.0,strangle_7d,600,100,215236,130714,440359,1022203,-440359,-487170,0
mod,0.0,strangle_7d,600,250,538090,206678,1100898,2399367,-1100898,-1174913,0
mod,0.0,strangle_7d,600,500,1076181,292286,2201796,4641345,-2201796,-2306469,0
mod,0.0,strangle_7d,600,1000,2152363,413356,4403593,9060108,-4403593,-4551623,0
mod,0.0,strangle_7d,800,1,2152,9172,1661,16881,-1661,-6361,18
mod,0.0,strangle_7d,800,4,8609,18344,6645,43679,-6645,-16045,4
mod,0.0,strangle_7d,800,8,17218,25943,13290,73388,-13290,-26584,2
